0.297622	1.149866	0.679759
0.299322	1.224895	0.770437
0.301023	1.306105	0.866280
0.302724	1.393848	0.967659
0.304424	1.488478	1.074946
0.306125	1.590342	1.188503
0.307826	1.699776	1.308683
0.309526	1.817089	1.435810
0.311227	1.942553	1.570174
0.312928	2.076386	1.712011
0.314628	2.218735	1.861487
0.316329	2.369645	2.018671
0.318030	2.529038	2.183515
0.319731	2.696681	2.355818
0.321431	2.872145	2.535195
0.323132	3.054774	2.721041
0.324833	3.243640	2.912490
0.326533	3.437505	3.108379
0.328234	3.634787	3.307217
0.329935	3.833533	3.507155
0.331635	4.031402	3.705975
0.333336	4.225676	3.901096
0.335037	4.413285	4.089600
0.336738	4.590869	4.268292
0.338438	4.754873	4.433791
0.340139	4.901673	4.582649
0.341840	5.027735	4.711501
0.343540	5.129790	4.817241
0.345241	5.205021	4.897190
0.346942	5.251233	4.949270
0.348642	5.267002	4.972134
0.350343	5.251768	4.965266
0.352044	5.205876	4.929015
0.353744	5.130551	4.864571
0.355445	5.027811	4.773885
0.357146	4.900333	4.659537
0.358847	4.751285	4.524577
0.360547	4.584141	4.372350
0.362248	4.402501	4.206319
0.363949	4.209927	4.029915
0.365649	4.009813	3.846404
0.367350	3.805277	3.658794
0.369051	3.599099	3.469767
0.370751	3.393683	3.281646
0.372452	3.191043	3.096383
0.374153	2.992819	2.915572
0.375853	2.800297	2.740471
0.377554	2.614447	2.572035
0.379255	2.435955	2.410949
0.380956	2.265271	2.257674
0.382656	2.102639	2.112476
0.384357	1.948142	1.975466
0.386058	1.801726	1.846629
0.387758	1.663235	1.725850
0.389459	1.532433	1.612943
0.391160	1.409023	1.507663
0.392860	1.292665	1.409729
0.394561	1.182993	1.318834
0.396262	1.079620	1.234655
0.397963	0.982152	1.156865
0.399663	0.890193	1.085136
0.401364	0.803347	1.019147
0.403065	0.721228	0.958585
0.404765	0.643457	0.903151
0.406466	0.569667	0.852558
0.408167	0.499505	0.806535
0.409867	0.432627	0.764828
0.411568	0.368705	0.727200
0.413269	0.307423	0.693429
0.414969	0.248478	0.663312
0.416670	0.191577	0.636659
0.418371	0.136442	0.613300
0.420072	0.082802	0.593076
0.421772	0.030397	0.575848
0.423473	-0.021025	0.561486
0.425174	-0.071707	0.549878
0.426874	-0.121885	0.540923
0.428575	-0.171790	0.534534
0.430276	-0.221647	0.530635
0.431976	-0.271678	0.529163
0.433677	-0.322098	0.530065
0.435378	-0.373124	0.533300
0.437078	-0.424966	0.538835
0.438779	-0.477835	0.546650
0.440480	-0.531941	0.556730
0.442181	-0.587493	0.569074
0.443881	-0.644699	0.583685
0.445582	-0.703769	0.600577
0.447283	-0.764911	0.619770
0.448983	-0.828336	0.641291
0.450684	-0.894251	0.665175
0.452385	-0.962867	0.691460
0.454085	-1.034391	0.720192
0.455786	-1.109031	0.751419
0.457487	-1.186990	0.785194
0.459188	-1.268467	0.821571
0.460888	-1.353655	0.860603
0.462589	-1.442740	0.902346
0.464290	-1.535892	0.946851
0.465990	-1.633271	0.994164
0.467691	-1.735014	1.044325
0.469392	-1.841235	1.097362
0.471092	-1.952018	1.153291
0.472793	-2.067411	1.212112
0.474494	-2.187416	1.273801
0.476194	-2.311985	1.338310
0.477895	-2.441006	1.405559
0.479596	-2.574297	1.475433
0.481297	-2.711592	1.547773
0.482997	-2.852532	1.622373
0.484698	-2.996654	1.698973
0.486399	-3.143379	1.777250
0.488099	-3.292006	1.856820
0.489800	-3.441697	1.937226
0.491501	-3.591480	2.017942
0.493201	-3.740244	2.098367
0.494902	-3.886741	2.177828
0.496603	-4.029596	2.255588
0.498303	-4.167325	2.330849
0.500004	-4.298355	2.402768
0.501705	-4.421052	2.470472
0.503406	-4.533766	2.533077
0.505106	-4.634866	2.589713
0.506807	-4.722796	2.639549
0.508508	-4.796122	2.681820
0.510208	-4.853583	2.715856
0.511909	-4.894145	2.741105
0.513610	-4.917035	2.757159
0.515310	-4.921777	2.763766
0.517011	-4.908214	2.760848
0.518712	-4.876509	2.748496
0.520413	-4.827144	2.726974
0.522113	-4.760894	2.696700
0.523814	-4.678797	2.658237
0.525515	-4.582112	2.612263
0.527215	-4.472270	2.559551
0.528916	-4.350821	2.500936
0.530617	-4.219385	2.437293
0.532317	-4.079603	2.369509
0.534018	-3.933093	2.298456
0.535719	-3.781412	2.224980
0.537419	-3.626029	2.149874
0.539120	-3.468300	2.073875
0.540821	-3.309452	1.997654
0.542522	-3.150579	1.921807
0.544222	-2.992635	1.846860
0.545923	-2.836437	1.773262
0.547624	-2.682669	1.701398
0.549324	-2.531892	1.631583
0.551025	-2.384553	1.564074
0.552726	-2.240995	1.499073
0.554426	-2.101467	1.436735
0.556127	-1.966140	1.377168
0.557828	-1.835110	1.320449
0.559528	-1.708415	1.266618
0.561229	-1.586040	1.215693
0.562930	-1.467927	1.167667
0.564631	-1.353985	1.122516
0.566331	-1.244090	1.080201
0.568032	-1.138098	1.040674
0.569733	-1.035845	1.003875
0.571433	-0.937154	0.969742
0.573134	-0.841839	0.938203
0.574835	-0.749704	0.909189
0.576535	-0.660552	0.882626
0.578236	-0.574180	0.858442
0.579937	-0.490388	0.836565
0.581638	-0.408972	0.816923
0.583338	-0.329735	0.799448
0.585039	-0.252479	0.784075
0.586740	-0.177009	0.770740
0.588440	-0.103138	0.759383
0.590141	-0.030678	0.749948
0.591842	0.040551	0.742380
0.593542	0.110724	0.736629
0.595243	0.180015	0.732649
0.596944	0.248587	0.730397
0.598644	0.316604	0.729831
0.600345	0.384219	0.730915
0.602046	0.451585	0.733614
