0.000000	-0.312706
12.000000	-0.327015
24.000000	-0.339137
36.000000	-0.348974
48.000000	-0.356079
60.000000	-0.359681
72.000000	-0.358751
84.000000	-0.352197
96.000000	-0.339128
108.000000	-0.319115
120.000000	-0.292436
132.000000	-0.260178
144.000000	-0.224217
156.000000	-0.186993
168.000000	-0.151267
180.000000	-0.119756
192.000000	-0.094833
204.000000	-0.078216
216.000000	-0.070739
228.000000	-0.072360
240.000000	-0.082274
252.000000	-0.099186
264.000000	-0.121498
276.000000	-0.147471
288.000000	-0.175317
300.000000	-0.203338
312.000000	-0.230168
324.000000	-0.254828
336.000000	-0.276826
348.000000	-0.296060
360.000000	-0.312706
